"occur_date","occur_time","Type","x","y","hour"
2014-01-09,"12:00:00","AUTO THEFT",-84.36826,33.68809,12
2014-12-09,"12:55:00","BURGLARY-RESIDENCE",-84.53447,33.69418,12
2014-01-10,"8:00:00","AUTO THEFT",-84.48844,33.67798,8
2014-01-12,"21:15:00","LARCENY-NON VEHICLE",-84.41348,33.80448,21
2014-12-12,"20:00:00","BURGLARY-RESIDENCE",-84.32621,33.72442,20
2014-12-15,"22:15:00","LARCENY-FROM VEHICLE",-84.38722,33.77411,22
2014-12-23,"7:30:00","LARCENY-FROM VEHICLE",-84.38973,33.78004,7
2014-01-10,"18:40:00","BURGLARY-RESIDENCE",-84.38082,33.73287,18
2014-12-24,"21:00:00","BURGLARY-RESIDENCE",-84.42649,33.71989,21
2014-01-09,"11:28:00","LARCENY-FROM VEHICLE",-84.46242,33.71823,11
2014-12-22,"12:31:00","LARCENY-NON VEHICLE",-84.4857,33.75177,12
2014-12-06,"12:00:00","BURGLARY-NONRES",-84.37503,33.7593,12
2014-11-30,"14:00:00","ROBBERY-PEDESTRIAN",-84.43051,33.76683,14
2014-12-24,"4:00:00","LARCENY-FROM VEHICLE",-84.38421,33.77953,4
2014-12-20,"16:04:00","LARCENY-FROM VEHICLE",-84.40387,33.7883,16
2014-11-10,"16:00:00","BURGLARY-NONRES",-84.38316,33.75746,16
2014-12-29,"20:00:00","AGG ASSAULT",-84.40109,33.68123,20
2014-11-30,"3:50:00","LARCENY-NON VEHICLE",-84.41849,33.7104,3
2014-12-18,"20:30:00","LARCENY-FROM VEHICLE",-84.44947,33.79214,20
2014-12-31,"20:00:00","LARCENY-FROM VEHICLE",-84.36448,33.84886,20
2014-12-12,"12:00:00","AGG ASSAULT",-84.4937,33.68077,12
2014-12-01,"13:45:00","LARCENY-NON VEHICLE",-84.36212,33.84676,13
2014-01-08,"14:40:00","LARCENY-NON VEHICLE",-84.41671,33.74053,14
2014-01-05,"7:40:00","LARCENY-FROM VEHICLE",-84.38686,33.79129,7
2014-11-15,"17:30:00","ROBBERY-PEDESTRIAN",-84.4022,33.72676,17
2014-12-21,"6:15:00","LARCENY-NON VEHICLE",-84.42824,33.64081,6
2014-12-08,"11:05:00","LARCENY-FROM VEHICLE",-84.35761,33.81313,11
2014-12-30,"3:40:00","AUTO THEFT",-84.39402,33.81533,3
2014-12-03,"17:00:00","BURGLARY-RESIDENCE",-84.35763,33.67325,17
2014-12-26,"14:00:00","AUTO THEFT",-84.50204,33.68387,14
2014-12-26,"8:24:00","AGG ASSAULT",-84.38347,33.85172,8
2014-12-22,"8:43:00","LARCENY-NON VEHICLE",-84.40099,33.79163,8
2014-12-20,"8:55:00","BURGLARY-RESIDENCE",-84.40653,33.70296,8
2014-12-24,"20:00:00","LARCENY-FROM VEHICLE",-84.38249,33.76774,20
2014-12-23,"21:19:00","BURGLARY-RESIDENCE",-84.37068,33.77472,21
2014-01-06,"10:20:00","LARCENY-NON VEHICLE",-84.36212,33.84676,10
2014-01-07,"12:00:00","LARCENY-FROM VEHICLE",-84.39017,33.73249,12
2014-10-14,"12:50:00","BURGLARY-RESIDENCE",-84.35825,33.76661,12
2014-12-27,"9:15:00","LARCENY-FROM VEHICLE",-84.37151,33.78119,9
2014-12-31,"7:30:00","LARCENY-FROM VEHICLE",-84.39519,33.74835,7
2014-12-25,"13:00:00","BURGLARY-RESIDENCE",-84.42924,33.78129,13
2014-12-30,"19:40:00","LARCENY-NON VEHICLE",-84.38023,33.77067,19
2014-12-22,"21:15:00","LARCENY-NON VEHICLE",-84.36426,33.84892,21
2014-12-31,"22:48:00","BURGLARY-NONRES",-84.39897,33.75153,22
2014-12-22,"22:45:00","ROBBERY-PEDESTRIAN",-84.41285,33.75617,22
2014-12-10,"9:30:00","BURGLARY-RESIDENCE",-84.33298,33.7306,9
2014-12-31,"23:35:00","BURGLARY-RESIDENCE",-84.32183,33.74953,23
2014-12-31,"21:00:00","BURGLARY-RESIDENCE",-84.41537,33.69993,21
2014-12-12,"7:40:00","AUTO THEFT",-84.38165,33.78855,7
2014-12-21,"10:00:00","BURGLARY-RESIDENCE",-84.40681,33.7284,10
2014-12-12,"1:00:00","LARCENY-FROM VEHICLE",-84.36113,33.8257,1
2014-12-14,"22:00:00","AUTO THEFT",-84.4689,33.75709,22
2014-12-24,"16:00:00","LARCENY-NON VEHICLE",-84.35637,33.65643,16
2014-12-15,"17:30:00","LARCENY-NON VEHICLE",-84.42371,33.80105,17
2014-01-04,"12:30:00","LARCENY-FROM VEHICLE",-84.34602,33.75957,12
2014-01-05,"13:18:00","LARCENY-NON VEHICLE",-84.41766,33.74628,13
2014-12-05,"14:20:00","LARCENY-NON VEHICLE",-84.45214,33.7774,14
2014-12-29,"7:00:00","BURGLARY-RESIDENCE",-84.47558,33.69818,7
2014-01-02,"12:00:00","BURGLARY-RESIDENCE",-84.44718,33.72046,12
2014-12-30,"21:15:00","AUTO THEFT",-84.40045,33.75198,21
2014-12-23,"4:45:00","LARCENY-FROM VEHICLE",-84.34684,33.76524,4
2014-12-29,"13:00:00","LARCENY-NON VEHICLE",-84.38388,33.78199,13
2014-12-24,"12:30:00","LARCENY-NON VEHICLE",-84.39868,33.68112,12
2014-12-31,"8:00:00","BURGLARY-RESIDENCE",-84.5166,33.7463,8
2014-12-20,"15:30:00","LARCENY-NON VEHICLE",-84.45746,33.70103,15
2014-12-20,"19:00:00","ROBBERY-PEDESTRIAN",-84.36916,33.75368,19
2014-12-29,"3:00:00","ROBBERY-PEDESTRIAN",-84.49406,33.75081,3
2014-12-31,"22:00:00","LARCENY-FROM VEHICLE",-84.3564,33.78189,22
2014-12-17,"7:00:00","BURGLARY-RESIDENCE",-84.39943,33.72675,7
2014-12-24,"17:00:00","LARCENY-FROM VEHICLE",-84.37849,33.82093,17
2014-12-31,"10:00:00","LARCENY-NON VEHICLE",-84.35679,33.77898,10
2014-12-31,"9:00:00","BURGLARY-RESIDENCE",-84.38017,33.70974,9
2014-12-31,"16:00:00","LARCENY-NON VEHICLE",-84.41435,33.68557,16
2014-12-31,"16:00:00","BURGLARY-RESIDENCE",-84.37759,33.70141,16
2014-12-31,"9:43:00","BURGLARY-RESIDENCE",-84.45928,33.77226,9
2014-12-31,"6:30:00","LARCENY-FROM VEHICLE",-84.38448,33.77554,6
2014-12-31,"20:00:00","LARCENY-FROM VEHICLE",-84.43733,33.73745,20
2014-12-31,"11:20:00","ROBBERY-PEDESTRIAN",-84.41599,33.74074,11
2014-12-28,"12:13:00","BURGLARY-RESIDENCE",-84.36263,33.73579,12
2014-12-30,"12:50:00","LARCENY-NON VEHICLE",-84.4072,33.68067,12
2014-12-31,"18:10:00","LARCENY-NON VEHICLE",-84.38781,33.78667,18
2014-12-30,"14:15:00","LARCENY-NON VEHICLE",-84.41736,33.763,14
2014-12-30,"13:00:00","LARCENY-FROM VEHICLE",-84.38235,33.78303,13
2014-12-31,"6:00:00","BURGLARY-RESIDENCE",-84.38231,33.67687,6
2014-12-31,"17:00:00","BURGLARY-RESIDENCE",-84.41601,33.67597,17
2014-12-31,"21:00:00","LARCENY-NON VEHICLE",-84.40212,33.68126,21
2014-12-29,"20:00:00","LARCENY-FROM VEHICLE",-84.3856,33.78076,20
2014-12-31,"18:45:00","AUTO THEFT",-84.39294,33.71269,18
2014-12-30,"21:40:00","LARCENY-NON VEHICLE",-84.41501,33.73667,21
2014-12-31,"10:19:00","BURGLARY-RESIDENCE",-84.3818,33.72658,10
2014-12-31,"16:30:00","AUTO THEFT",-84.41208,33.7858,16
2014-12-31,"19:30:00","AUTO THEFT",-84.38609,33.76407,19
2014-12-30,"10:00:00","BURGLARY-RESIDENCE",-84.38244,33.7129,10
2014-12-31,"20:00:00","LARCENY-FROM VEHICLE",-84.41392,33.80693,20
2014-12-31,"19:00:00","LARCENY-FROM VEHICLE",-84.35186,33.75082,19
2014-12-31,"21:30:00","AUTO THEFT",-84.49328,33.68845,21
2014-12-31,"19:45:00","LARCENY-FROM VEHICLE",-84.36884,33.79764,19
2014-12-31,"6:30:00","LARCENY-FROM VEHICLE",-84.43753,33.62651,6
2014-12-31,"21:10:00","LARCENY-NON VEHICLE",-84.43591,33.64065,21
2014-12-31,"23:30:00","AUTO THEFT",-84.35096,33.76484,23
2014-12-31,"0:07:00","LARCENY-NON VEHICLE",-84.3525,33.77542,0
2014-12-31,"1:46:00","LARCENY-FROM VEHICLE",-84.41456,33.756,1
2014-12-31,"0:30:00","LARCENY-FROM VEHICLE",-84.38728,33.77873,0
2014-12-31,"22:00:00","AUTO THEFT",-84.47292,33.7881,22
2014-12-31,"0:10:00","LARCENY-NON VEHICLE",-84.38964,33.75194,0
2014-12-31,"0:10:00","LARCENY-FROM VEHICLE",-84.46721,33.77426,0
2014-12-31,"20:00:00","AUTO THEFT",-84.40755,33.74662,20
2014-12-31,"22:30:00","LARCENY-FROM VEHICLE",-84.40755,33.74662,22
2014-12-31,"0:01:00","AUTO THEFT",-84.41153,33.77322,0
2014-12-30,"1:20:00","LARCENY-FROM VEHICLE",-84.38732,33.77509,1
2014-12-30,"19:00:00","AUTO THEFT",-84.3969,33.73908,19
2014-12-30,"23:00:00","AUTO THEFT",-84.37755,33.72745,23
2014-12-22,"22:00:00","LARCENY-FROM VEHICLE",-84.41898,33.75754,22
2014-12-05,"19:00:00","LARCENY-FROM VEHICLE",-84.37843,33.78897,19
2014-11-07,"19:30:00","AUTO THEFT",-84.35812,33.72594,19
2014-10-29,"3:30:00","AUTO THEFT",-84.38529,33.72594,3
2014-06-10,"12:00:00","LARCENY-NON VEHICLE",-84.45819,33.77274,12
2014-01-05,"8:00:00","LARCENY-FROM VEHICLE",-84.373,33.78074,8
2014-01-08,"20:00:00","BURGLARY-NONRES",-84.38216,33.76526,20
2014-01-08,"7:00:00","AUTO THEFT",-84.48265,33.69869,7
2014-01-26,"17:00:00","BURGLARY-NONRES",-84.44675,33.81367,17
2014-01-30,"20:00:00","AUTO THEFT",-84.53875,33.70417,20
2014-03-03,"13:00:00","BURGLARY-RESIDENCE",-84.38043,33.72807,13
2014-03-09,"0:01:00","BURGLARY-NONRES",-84.43467,33.80689,0
2014-03-09,"22:00:00","AUTO THEFT",-84.42275,33.75596,22
2014-03-09,"17:00:00","BURGLARY-NONRES",-84.44247,33.75932,17
2014-03-09,"0:01:00","BURGLARY-NONRES",-84.4045,33.83763,0
2014-03-11,"10:00:00","BURGLARY-RESIDENCE",-84.39773,33.80251,10
2014-03-14,"20:00:00","LARCENY-FROM VEHICLE",-84.41006,33.72456,20
2014-03-20,"6:00:00","AUTO THEFT",-84.39106,33.72902,6
2014-03-22,"17:00:00","LARCENY-NON VEHICLE",-84.35586,33.6591,17
2014-03-24,"9:50:00","BURGLARY-RESIDENCE",-84.43847,33.75901,9
2014-03-26,"12:00:00","LARCENY-FROM VEHICLE",-84.34647,33.75795,12
2014-03-16,"15:00:00","BURGLARY-RESIDENCE",-84.36805,33.86421,15
2014-04-12,"0:01:00","BURGLARY-RESIDENCE",-84.51217,33.76733,0
2014-04-18,"12:00:00","BURGLARY-RESIDENCE",-84.43728,33.7274,12
2014-04-29,"11:10:00","LARCENY-NON VEHICLE",-84.40099,33.79163,11
2014-04-29,"12:00:00","AUTO THEFT",-84.3928,33.75727,12
2014-01-28,"11:15:00","LARCENY-NON VEHICLE",-84.38023,33.77067,11
2014-05-03,"11:25:00","BURGLARY-NONRES",-84.41788,33.77828,11
2014-05-20,"0:01:00","BURGLARY-NONRES",-84.41542,33.83691,0
2014-05-21,"8:00:00","BURGLARY-RESIDENCE",-84.43739,33.72049,8
2014-05-27,"17:00:00","LARCENY-NON VEHICLE",-84.43359,33.80178,17
2014-06-03,"23:00:00","AUTO THEFT",-84.41379,33.72136,23
2014-06-04,"21:00:00","AUTO THEFT",-84.46574,33.70087,21
2014-06-05,"23:00:00","BURGLARY-RESIDENCE",-84.3702,33.69268,23
2014-06-10,"17:00:00","LARCENY-NON VEHICLE",-84.37648,33.70702,17
2014-06-13,"12:00:00","LARCENY-FROM VEHICLE",-84.36863,33.75409,12
2014-06-14,"21:45:00","LARCENY-FROM VEHICLE",-84.37857,33.77248,21
2014-06-15,"13:33:00","BURGLARY-RESIDENCE",-84.50765,33.6724,13
2014-06-17,"13:30:00","BURGLARY-RESIDENCE",-84.44665,33.7078,13
2014-06-20,"7:00:00","LARCENY-NON VEHICLE",-84.38723,33.773,7
2014-06-22,"13:30:00","LARCENY-NON VEHICLE",-84.36212,33.84676,13
2014-06-24,"14:05:00","LARCENY-NON VEHICLE",-84.3711,33.73573,14
2014-06-30,"0:30:00","LARCENY-NON VEHICLE",-84.38921,33.75522,0
2014-07-02,"21:00:00","LARCENY-FROM VEHICLE",-84.35862,33.7363,21
2014-07-03,"15:15:00","LARCENY-FROM VEHICLE",-84.53496,33.69635,15
2014-07-04,"15:00:00","AUTO THEFT",-84.38511,33.75456,15
2014-07-12,"9:00:00","LARCENY-FROM VEHICLE",-84.38996,33.75119,9
2014-07-14,"16:00:00","BURGLARY-RESIDENCE",-84.45225,33.78478,16
2014-07-15,"14:30:00","BURGLARY-RESIDENCE",-84.43939,33.73753,14
2014-07-26,"12:00:00","BURGLARY-RESIDENCE",-84.3713,33.81007,12
2014-07-27,"3:00:00","LARCENY-NON VEHICLE",-84.40657,33.78279,3
2014-08-06,"16:00:00","ROBBERY-RESIDENCE",-84.38651,33.7126,16
2014-08-11,"16:10:00","LARCENY-NON VEHICLE",-84.45274,33.82065,16
2014-08-14,"8:00:00","BURGLARY-RESIDENCE",-84.46073,33.75118,8
2014-08-15,"8:00:00","LARCENY-FROM VEHICLE",-84.37477,33.69444,8
2014-08-25,"20:00:00","LARCENY-FROM VEHICLE",-84.37551,33.77541,20
2014-08-30,"17:00:00","AGG ASSAULT",-84.35692,33.71564,17
2014-08-31,"11:00:00","AUTO THEFT",-84.41398,33.79935,11
2014-09-01,"17:14:00","AGG ASSAULT",-84.48304,33.80416,17
2014-08-30,"17:00:00","AGG ASSAULT",-84.37999,33.66063,17
2014-09-04,"17:00:00","LARCENY-NON VEHICLE",-84.38221,33.73724,17
2014-09-06,"18:00:00","LARCENY-NON VEHICLE",-84.34813,33.75605,18
2014-09-07,"15:00:00","LARCENY-FROM VEHICLE",-84.38027,33.7691,15
2014-09-16,"7:00:00","BURGLARY-RESIDENCE",-84.46432,33.81449,7
2014-09-20,"17:00:00","LARCENY-FROM VEHICLE",-84.37904,33.77258,17
2014-09-21,"7:00:00","BURGLARY-RESIDENCE",-84.46961,33.76881,7
2014-09-22,"18:20:00","LARCENY-NON VEHICLE",-84.37409,33.84413,18
2014-09-23,"19:25:00","LARCENY-NON VEHICLE",-84.38023,33.77067,19
2014-09-23,"17:30:00","LARCENY-FROM VEHICLE",-84.37924,33.78389,17
2014-02-09,"16:30:00","ROBBERY-PEDESTRIAN",-84.45068,33.75652,16
2014-10-08,"19:00:00","BURGLARY-RESIDENCE",-84.49597,33.68245,19
2014-10-09,"11:30:00","BURGLARY-RESIDENCE",-84.41566,33.69919,11
